IPC Code,Description
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL (making or covering furrows or holes for sowing, planting or manuring A01C 5/00 ; machines for harvesting root crops A01D ; mowers convertible to soil working apparatus or capable of soil working A01D 42/04 ; mowers combined with soil working implements A01D 43/12 ; soil working for engineering purposes E01 , E02 , E21 )"
A01C,"PLANTING; SOWING; FERTILISING (parts, details or accessories of agricultural machines or implements, in general A01B 51/00 - A01B 75/00 )"
A01D,HARVESTING; MOWING
A01F,"THRESHING ( combines A01D 41/00 ) ; BALING OF STRAW, HAY OR THE LIKE; STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW, HAY OR THE LIKE INTO BUNDLES ; CUTTING OF STRAW, HAY OR THE LIKE; STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ( arrangements for making or setting stacks in connection with harvesting A01D 85/00 )"
A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING (picking of fruits, vegetables, hops or the like A01D 46/00 ; propagating unicellular algae C12N 1/12 )"
A01H,NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES [5]
A01J,"MANUFACTURE OF DAIRY PRODUCTS (for chemical matters, see subclass A23C )"
A01K,"ANIMAL HUSBANDRY; AVICULTURE; APICULTURE; PISCICULTURE; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS"
A01L,SHOEING OF ANIMALS
A01M,SHOEING OF ANIMALS
A01N,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23 ) ; BIOCIDES , e.g. AS DISINFECTANTS , AS PESTICIDES OR AS HERBICIDES ( preparations for medical, dental or toiletry purposes which kill or prevent the growth or proliferation of unwanted organisms A61K ) ; PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS"
A01P,"BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS [2006.01]"
A21B,BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J 37/00 )
A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH
A21D,"TREATMENT OF FLOUR OR DOUGH FOR BAKING, e.g. BY ADDITION OF MATERIALS ; BAKING; BAKERY PRODUCTS (preservation of flour or dough before baking A23B 40/00 ; preservation of bakery products A23B 45/00 ) [2006.01]"
A22B,SLAUGHTERING
A22C,"PROCESSING MEAT, POULTRY, OR FISH (preserving A23B ; obtaining protein compositions for foodstuffs A23J 1/00 ; fish, meat or poultry preparations A23L ; disintegrating, e.g. chopping meat, B02C 18/00 ; preparation of proteins C07K 1/00 )"
A23B,"PRESERVATION OF FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES; CHEMICAL RIPENING OF FRUIT OR VEGETABLES"
A23C,"DAIRY PRODUCTS , e.g. MILK, BUTTER OR CHEESE; MILK OR CHEESE SUBSTITUTES; MAKING OR TREATMENT THEREOF (preservation thereof A23B 11/00 )"
A23D,"EDIBLE OILS OR FATS , e.g. MARGARINES, SHORTENINGS OR COOKING OILS (preservation thereof A23B 20/00 ; production, refinement or preservation of animal or vegetable fats or oils C11B , C11C )"
A23F,"COFFEE ; TEA ; THEIR SUBSTITUTES; MANUFACTURE, PREPARATION , OR INFUSION THEREOF"
A23G,"COCOA; COCOA PRODUCTS , e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS ; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF [2006.01]"
A23J,PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS [4]
A23K,FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALS; METHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF
A23L,"FOODS , FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES, NOT OTHERWISE PROVIDED FOR; PREPARATION OR TREATMENT THEREOF (preservation thereof A23B ) [2006.01]"
A23N,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES, OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING-STUFFS (machines for cutting straw or fodder A01F 29/00 ; disintegrating, e.g. shredding, B02C ; severing, e.g. cutting, splitting, slicing, B26B , B26D )"
A23P,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS"
A24B,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF
A24C,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF
A24D,CIGARS; CIGARETTES ; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES ; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES
A24F,"SMOKERS’ REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES (inhaling appliances for medical purposes, shaped like cigars, cigarettes or pipes A61M 15/06 )"
A41B,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
A41C,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
A41D,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES
A41F,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES
A41G,GARMENT FASTENINGS; SUSPENDERS
A41H,ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS
A42B,HATS; HEAD COVERINGS (headbands A41D 20/00 ; head-scarves A41D 23/00 )
A42C,"MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS"
A43B,CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR
A43C,FASTENINGS OR ATTACHMENTS FOR FOOTWEAR; LACES IN GENERAL
A43D,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR (sewing D05B ) [6]"
A44B,"BUTTONS , PINS , BUCKLES , SLIDE FASTENERS , OR THE LIKE (fastenings specially adapted for footwear A43C )"
A44C,"PERSONAL ADORNMENTS, e.g. JEWELLERY; COINS"
A45B,"WALKING STICKS (walking aids, e.g. sticks, for blind persons A61H 3/06 ) ; UMBRELLAS; LADIES' OR LIKE FANS (cane or umbrella stands or holders A47G 25/12 )"
A45C,PURSES; LUGGAGE; HAND CARRIED BAGS
A45D,"HAIRDRESSING OR SHAVING EQUIPMENT (wigs, toupees or the like A41G 3/00 , A41G 5/00 ; hairdressers' chairs A47C 1/04 ; hair cutting appliances, razors B26B ) ; EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS , e.g. FOR MANICURING OR PEDICURING"
A45F,TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY [2006.01]
A46B,BRUSHES (handles not integral with brushware B25G )
A46D,MANUFACTURE OF BRUSHES
A47B,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE (jointing of furniture F16B 12/00 )
A47C,CHAIRS; SOFAS; BEDS
A47D,"FURNITURE SPECIALLY ADAPTED FOR CHILDREN (school benches or desks A47B 39/00 , A47B 41/00 )"
A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS, OR THE LIKE; PAYING COUNTERS"
A47G,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B 65/00 ; knives B26B )
A47H,"FURNISHINGS FOR WINDOWS OR DOORS (concerned with the functioning of the door or window E05 ; roller blinds E06B ; special arrangements or measures in connection with doors or windows, e.g. for ventilation or sealing, E06B 7/00 )"
A47J,KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES [6]
A47K,"SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe, sinks E03C ; water-closets E03D ) ; TOILET ACCESSORIES (cosmetic equipment A45D )"
A47L,DOMESTIC WASHING OR CLEANING (brushes A46B ; cleaning quantities of bottles or of other hollow articles of one kind B08B 9/00 ; laundry D06F ) ; SUCTION CLEANERS IN GENERAL (cleaning in general B08 )
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION (usefulness limited to only animals A61D )
A61C,"DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B ; preparations for dentistry A61K 6/00 ; preparations for cleaning the teeth or mouth A61K 8/00 , A61Q 11/00 )"
A61D,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS"
